station,week,observed,median,lower,upper
Sox-35th-Dan Ryan,0,0.0047981733861233,0.0047981734,0.0047981734,0.0047981734
Sox-35th-Dan Ryan,1,-0.0146753157842143,0.06727800049999999,-0.33917014925,0.456133567
Sox-35th-Dan Ryan,2,0.0460207069749571,0.026242231499999998,-0.3987879055,0.51187256575
Sox-35th-Dan Ryan,3,0.003020846119603,0.043284605000000004,-0.4183914725,0.51112629875
Sox-35th-Dan Ryan,4,-0.0632925653082923,0.00415222345,-0.4554713175,0.46873495600000004
Sox-35th-Dan Ryan,5,0.0131944880795318,0.020455724,-0.48169178274999996,0.537608921
Sox-35th-Dan Ryan,6,0.1515498981272012,0.0061731154,-0.477287464,0.5254003165000001
Sox-35th-Dan Ryan,7,-0.0126155800578695,0.016233025499999998,-0.46852828725,0.537120358
Sox-35th-Dan Ryan,8,0.0740948297359107,0.0116362415,-0.540768167,0.47013725100000003
Sox-35th-Dan Ryan,9,-0.0589388745139896,-0.005758269,-0.4978078135,0.5054806865
Sox-35th-Dan Ryan,10,0.0780612102974629,0.012553601,-0.526463577,0.5446002912500002
Sox-35th-Dan Ryan,11,0.0116648548130458,0.015417458500000002,-0.49034728424999996,0.5026533980000002
Sox-35th-Dan Ryan,12,0.1251923788732583,0.019177968,-0.434747883,0.5133510800000001
Sox-35th-Dan Ryan,13,0.2943111260481688,-0.00594026365,-0.50905884775,0.5002298540000002
Sox-35th-Dan Ryan,14,-0.1399307651633679,0.00651929765,-0.49511819675,0.5002811340000003
Sox-35th-Dan Ryan,15,0.302972319994236,0.03145804,-0.47883550874999997,0.4995826627500001
Sox-35th-Dan Ryan,16,-0.4005272822512147,-0.0141683215,-0.49444703525,0.5390945447500001
Sox-35th-Dan Ryan,17,0.4684833470097258,0.0104687535,-0.48712093025,0.5014610807500003
Sox-35th-Dan Ryan,18,-0.3868378112227244,0.015029381,-0.50235220075,0.5077958722500001
Sox-35th-Dan Ryan,19,0.5586152694014892,-0.0022802213,-0.464370399,0.48633479375000005
Sox-35th-Dan Ryan,20,0.0828165104541485,0.00219598675,-0.48220855425000003,0.5012090027500002
Sox-35th-Dan Ryan,21,-0.1013328366775079,0.017212586000000002,-0.46589314449999997,0.515981103
Sox-35th-Dan Ryan,22,-0.0126125781059194,0.0080260416,-0.50066135075,0.49261101425
Sox-35th-Dan Ryan,23,-0.00015021781611501694,0.0248734105,-0.4735104355,0.5063919585000001
Sox-35th-Dan Ryan,24,0.095835843466788,0.00670770625,-0.50451326825,0.4883375695
Sox-35th-Dan Ryan,25,-0.6151856390902335,0.013499978499999999,-0.46269692025000003,0.5067464127500001
