station,week,observed,median,lower,upper
Sox-35th-Dan Ryan,0,0.0047981733861233,0.0047981734,0.0047981734,0.0047981734
Sox-35th-Dan Ryan,1,-0.0146753157842143,0.07261521700000001,-0.2470413885,0.3924273794999997
Sox-35th-Dan Ryan,2,0.0460207069749571,0.016737882000000003,-0.3823019775,0.39758529799999986
Sox-35th-Dan Ryan,3,0.003020846119603,0.0582652615,-0.352470791,0.4338994539999998
Sox-35th-Dan Ryan,4,-0.0632925653082923,-0.009118358850000001,-0.385026036,0.4348752919999998
Sox-35th-Dan Ryan,5,0.0131944880795318,0.0189255215,-0.38638038399999997,0.4531614025
Sox-35th-Dan Ryan,6,0.1515498981272012,0.0190686915,-0.40505549700000004,0.42717729399999976
Sox-35th-Dan Ryan,7,-0.0126155800578695,0.030359647,-0.4009444005,0.44352255649999994
Sox-35th-Dan Ryan,8,0.0740948297359107,-0.00487581825,-0.4194046115,0.4184696469999997
Sox-35th-Dan Ryan,9,-0.0589388745139896,0.007595466800000001,-0.440871068,0.44650050649999984
Sox-35th-Dan Ryan,10,0.0780612102974629,-0.0040036542,-0.406029438,0.44927830349999964
Sox-35th-Dan Ryan,11,0.0116648548130458,-0.00033593279000000004,-0.40562660399999995,0.4205265354999999
Sox-35th-Dan Ryan,12,0.1251923788732583,0.025974634,-0.3763817585,0.43982410549999995
Sox-35th-Dan Ryan,13,0.2943111260481688,9.28030745e-05,-0.3985328845,0.43209006849999987
Sox-35th-Dan Ryan,14,-0.1399307651633679,0.024987182,-0.406205913,0.4348437439999999
Sox-35th-Dan Ryan,15,0.302972319994236,0.010561551499999999,-0.43873115149999997,0.4279956005
Sox-35th-Dan Ryan,16,-0.4005272822512147,0.0090186402,-0.4456065905,0.42034305799999994
Sox-35th-Dan Ryan,17,0.4684833470097258,0.0171283745,-0.41000044,0.43386112649999975
Sox-35th-Dan Ryan,18,-0.3868378112227244,0.0015652732500000001,-0.42921998100000003,0.42029683199999995
Sox-35th-Dan Ryan,19,0.5586152694014892,0.0175927715,-0.41042568399999996,0.4253060289999998
Sox-35th-Dan Ryan,20,0.0828165104541485,-0.0014975726,-0.40578832249999996,0.43721605449999995
Sox-35th-Dan Ryan,21,-0.1013328366775079,-0.001389917,-0.41185310849999995,0.43182623699999995
Sox-35th-Dan Ryan,22,-0.0126125781059194,0.00622015425,-0.42861542150000004,0.4071192034999999
Sox-35th-Dan Ryan,23,-0.00015021781611501694,0.022978347500000003,-0.38895723649999997,0.43475051749999993
